Group	Value
Amplicons	0.0015485
Amplicons	0.0019498
Amplicons	0.0024758
Amplicons	0.0015812
Amplicons	0.0000000
Amplicons	0.0000000
Amplicons	0.0002876
Amplicons	0.0000073
Amplicons	0.0001129
Amplicons	0.0002099
Amplicons	0.0006388
Amplicons	0.0000000
Amplicons	0.0000000
Amplicons	0.0006528
Amplicons	0.0305344
Amplicons	0.0043489
Amplicons	0.0020497
Amplicons	0.0000000
Metagenomics	0.0886929
Metagenomics	0.0523455
Metagenomics	0.0665138
Metagenomics	0.0655372
Metagenomics	0.0757032
Metagenomics	0.2143906
Metagenomics	0.2504584
Metagenomics	0.2266179
Metagenomics	0.1490534
Metagenomics	0.2922527
Metagenomics	0.2811575
Metagenomics	0.2153447
Metagenomics	0.2074789
Metagenomics	0.1163295
Metagenomics	0.1363939
Metagenomics	0.1303957
Metagenomics	0.0984159
Metagenomics	0.1292808
