Function	Family	Count
"Phototrophy"	"Actinomarinaceae"	1
"Phototrophy"	"Alteromonadaceae"	0
"Phototrophy"	"Arcobacteraceae"	0
"Phototrophy"	"Bacteroidaceae"	0
"Phototrophy"	"Cellvibrionaceae"	0
"Phototrophy"	"Colwelliaceae"	0
"Phototrophy"	"Cryomorphaceae"	0
"Phototrophy"	"Erysipelotrichaceae"	0
"Phototrophy"	"Flavobacteriaceae"	0
"Phototrophy"	"Fokiniaceae"	0
"Phototrophy"	"Francisellaceae"	0
"Phototrophy"	"Gammaproteobacteria Unknown Family"	0
"Phototrophy"	"Halieaceae"	0
"Phototrophy"	"Halomonadaceae"	0
"Phototrophy"	"Hyphomonadaceae"	0
"Phototrophy"	"JGI 0000069-P22 Unknown Family"	0
"Phototrophy"	"Kangiellaceae"	0
"Phototrophy"	"Lachnospiraceae"	0
"Phototrophy"	"Methylophagaceae"	0
"Phototrophy"	"Morganellaceae"	0
"Phototrophy"	"Muribaculaceae"	0
"Phototrophy"	"Oleiphilaceae"	0
"Phototrophy"	"OM182 Clade"	0
"Phototrophy"	"Oscillospiraceae"	0
"Phototrophy"	"Oxalobacteraceae"	0
"Phototrophy"	"Peptococcaceae"	0
"Phototrophy"	"Phycisphaeraceae"	0
"Phototrophy"	"Pirellulaceae"	0
"Phototrophy"	"Piscirickettsiaceae"	0
"Phototrophy"	"Pseudohongiellaceae"	0
"Phototrophy"	"Rhodobacteraceae"	0
"Phototrophy"	"Rickettsiaceae"	0
"Phototrophy"	"Ruminococcaceae"	0
"Phototrophy"	"Saprospiraceae"	0
"Phototrophy"	"SAR11 Clade I"	0
"Phototrophy"	"SAR116 Clade"	0
"Phototrophy"	"SAR86 Clade"	0
"Phototrophy"	"Sedimenticolaceae"	0
"Phototrophy"	"Shewanellaceae"	0
"Phototrophy"	"Spirochaetaceae"	0
"Phototrophy"	"Spongiibacteraceae"	0
"Phototrophy"	"Thiotrichaceae"	0
"Phototrophy"	"Vibrionaceae"	0
"Photoheterotrophy"	"Actinomarinaceae"	1
"Photoheterotrophy"	"Alteromonadaceae"	0
"Photoheterotrophy"	"Arcobacteraceae"	0
"Photoheterotrophy"	"Bacteroidaceae"	0
"Photoheterotrophy"	"Cellvibrionaceae"	0
"Photoheterotrophy"	"Colwelliaceae"	0
"Photoheterotrophy"	"Cryomorphaceae"	0
"Photoheterotrophy"	"Erysipelotrichaceae"	0
"Photoheterotrophy"	"Flavobacteriaceae"	0
"Photoheterotrophy"	"Fokiniaceae"	0
"Photoheterotrophy"	"Francisellaceae"	0
"Photoheterotrophy"	"Gammaproteobacteria Unknown Family"	0
"Photoheterotrophy"	"Halieaceae"	0
"Photoheterotrophy"	"Halomonadaceae"	0
"Photoheterotrophy"	"Hyphomonadaceae"	0
