Category	Acanthamunnopsis1	Acanthamunnopsis3	Acanthamunnopsis4	Cyclothone1	Cyclothone2	Cyclothone3	Cyclothone4	Euphausia1	Euphausia2	Euphausia3	Euphausia4	Munneurycope1	Munneurycope2	Munneurycope3	Stenobrachius1	Stenobrachius2	Stenobrachius3	Stenobrachius4	Poeobius1	Poeobius2	Poeobius3	Poeobius4	Poeobius5	Poeobius6	Eusergestes1	Eusergestes2	Eusergestes3	Eusergestes4	Tomopteris1	Tomopteris2	Vampyroteuthis1	Vampyroteuthis2	Vitreosalpa1	Vitreosalpa2	Vitreosalpa3	Vitreosalpa4	Vitreosalpa5
"Chemoheterotrophy"	0.2177263969	0.8906770256	0.2241777798	0.8172879541	0.5513366514	0.7833211621	0.8884023597	0.3923578900	0.5090181490	0.4544155844	0.1260138692	0.7872277354	0.3762439316	0.2217504452	0.6618057534	0.9234560574	0.8658451110	0.9523728391	0.8593575058	0.9401521803	0.2389312977	0.9917811668	0.6561184723	0.9065828402	0.8275715918	0.7280861673	0.7852622697	0.7917261871	0.8352078857	0.4468965517	0.9402326196	0.7929862377	0.6926603402	0.4239938080	0.7010139199	0.2682362143	0.5979523456
"Aerobic Chemoheterotrophy"	0.0000000000	0.0159082501	0.1431576028	0.7704608336	0.0184206476	0.1006180646	0.0215289181	0.0722785580	0.1930306617	0.3156122449	0.0631013325	0.5687949069	0.3382856997	0.1873031092	0.5240102535	0.9050221106	0.8259029571	0.8963971639	0.1057617776	0.9237072556	0.0465648855	0.9890655348	0.5343725642	0.8616494082	0.6977849851	0.5873941878	0.7250738293	0.6279069767	0.0000000000	0.0432183908	0.1008723236	0.1617476372	0.3488974465	0.0291709666	0.0387008077	0.1795698083	0.0426749814
"Fermentation"	0.0289017341	0.3977293748	0.0474033328	0.3938803439	0.3313151008	0.3289635395	0.3931764277	0.3366015162	0.4178221170	0.3288589981	0.0600878626	0.5268276846	0.0322625859	0.0710998493	0.4354884648	0.9126070247	0.8413847560	0.9185331778	0.0110240289	0.1140564148	0.0427480916	0.1256024746	0.0656274357	0.7081730769	0.1486013342	0.1662347133	0.0541414710	0.2245014570	0.3666119045	0.0068965517	0.4192175522	0.3624606201	0.2851510567	0.0118335053	0.2809073724	0.0848025029	0.2534251676
"Cellulolysis"	0.0000000000	0.0000000000	0.0016063050	0.0104275132	0.0000000000	0.0003027982	0.0000000000	0.0031029078	0.0119208657	0.0241465677	0.0019750935	0.0068180856	0.0023572584	0.0098205725	0.0000000000	0.0004632009	0.0022180228	0.0001310599	0.0000000000	0.0037594831	0.0000000000	0.0004496079	0.0000000000	0.0012204142	0.0000000000	0.0034490574	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0062577362	0.0000343997	0.0000000000	0.0007508799	0.0001675354
"Chitinolysis"	0.0000000000	0.0000000000	0.0076617283	0.3599648946	0.0022576838	0.0025292557	0.0096089521	0.0442244330	0.1643698569	0.1985899814	0.0386958574	0.3363447721	0.0046890330	0.0463635119	0.2635146682	0.9016349543	0.8147862270	0.8864104009	0.0000000000	0.1029130366	0.0000000000	0.1240198547	0.0000000000	0.6657051281	0.0416467033	0.0573923155	0.0310786106	0.1224501457	0.0000000000	0.0000000000	0.0000264340	0.0031503897	0.0671847064	0.0003955968	0.0000343702	0.0403597966	0.0008097543
"Xylanolysis"	0.0000000000	0.0219894562	0.0008204867	0.0013090173	0.0242701011	0.0170101348	0.0166028097	0.0000639775	0.0001831812	0.0000092764	0.0000290455	0.0005646448	0.0001019355	0.0000410903	0.0000000000	0.0000361876	0.0002306744	0.0010222671	0.0000861252	0.0000000000	0.0000000000	0.0000000000	0.0001558846	0.0029832347	0.0203258025	0.0000197089	0.0000000000	0.0022855837	0.0473903703	0.0000000000	0.0164948454	0.0172442381	0.0032320176	0.0001719986	0.0117202268	0.0037074697	0.0000186150
"Aromatic Compound Degradation"	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0021037508	0.0044351032	0.0075412029	0.0000000000	0.0005354526	0.0000000000	0.0000363069	0.0000000000	0.0000764516	0.0005615669	0.0000000000	0.0003908257	0.0000000000	0.0000000000	0.0002583757	0.0000000000	0.0000000000	0.0000899216	0.3170693686	0.0037845168	0.0000000000	0.0013007874	0.0180705949	0.0083995200	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0008251960	0.0000687994	0.0000000000	0.0013609699	0.0000000000
"Hydrocarbon Degradation"	0.0000000000	0.0000000000	0.0055816211	0.0010263886	0.0029247268	0.0040610584	0.0000000000	0.0001919324	0.0008031789	0.0006400742	0.0000217841	0.0018774439	0.0001656452	0.0005067799	0.0000000000	0.0001447503	0.0008872091	0.0000000000	0.0001722505	0.0003601900	0.0000000000	0.0002158118	0.0000000000	0.0002958580	0.0206575019	0.0256314239	0.0027422303	0.0058853780	0.0000000000	0.2377011494	0.0000000000	0.0073785442	0.0187044423	0.0000343997	0.0000000000	0.0012358232	0.0000000000
"Aromatic Hydrocarbon Degradation"	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000899216	0.0000000000	0.0002958580	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000
"Aliphatic Non-Methane Hydrocarbon Degradation"	0.0000000000	0.0000000000	0.0000000000	0.0006545087	0.0000000000	0.0000000000	0.0000000000	0.0001919324	0.0008031789	0.0005287570	0.0000000000	0.0016233537	0.0000891936	0.0005067799	0.0000000000	0.0001447503	0.0000000000	0.0000000000	0.0000000000	0.0003601900	0.0000000000	0.0002158118	0.0000000000	0.0002958580	0.0000000000	0.0084452635	0.0000000000	0.0058853780	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0153348920	0.0000343997	0.0000000000	0.0000000000	0.0000000000
"Plastic Degradation"	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0022977041	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.1194076383	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0007195933	0.0000000000
"Methanol Oxidation"	0.0000000000	0.0000000000	0.0055816211	0.0005355071	0.0029247268	0.0033307803	0.0000000000	0.0000959662	0.0000000000	0.0004638219	0.0001089206	0.0013974958	0.0007135485	0.0003972059	0.0000000000	0.0000000000	0.0008872091	0.0001310599	0.7423994488	0.0009004750	0.0000000000	0.0000719373	0.0709275136	0.0000000000	0.0206575019	0.0161021709	0.0027422303	0.0000000000	0.0000000000	0.2377011494	0.0000000000	0.0062178743	0.0033695503	0.3788097695	0.0334765424	0.0007665233	0.3011448251
"Methanotrophy"	0.0000000000	0.0000000000	0.0055816211	0.0000000000	0.0029247268	0.0031170404	0.0000000000	0.0000000000	0.0000000000	0.0001113173	0.0000217841	0.0002117418	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0008872091	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0206575019	0.0158065374	0.0027422303	0.0000000000	0.0000000000	0.2377011494	0.0000000000	0.0062178743	0.0033695503	0.0000000000	0.0000000000	0.0004693000	0.0000000000
"Methylotrophy"	0.0000000000	0.0000000000	0.0055816211	0.0005355071	0.0029247268	0.0033307803	0.0000000000	0.0000959662	0.0000000000	0.0004638219	0.0001089206	0.0014116119	0.0007262904	0.0003972059	0.0000000000	0.0000000000	0.0008872091	0.0001310599	0.7423994488	0.0009004750	0.0000000000	0.0000719373	0.0709275136	0.0000000000	0.0206575019	0.0168116913	0.0027422303	0.0000000000	0.0000000000	0.2377011494	0.0000000000	0.0062178743	0.0049053317	0.3789989680	0.0334765424	0.0007665233	0.3013682056
