SampleID	Species	Group	Method	Diet	Depth	Migration
Acanthamunnopsis1	"Acanthamunnopsis milleri"	Isopod	ROV	Detritus	308	No
Acanthamunnopsis2	"Acanthamunnopsis milleri"	Isopod	ROV	Detritus	308	No
Acanthamunnopsis3	"Acanthamunnopsis milleri"	Isopod	ROV	Detritus	308	No
Acanthamunnopsis4	"Acanthamunnopsis milleri"	Isopod	ROV	Detritus	308	No
Cyclothone1	"Cyclothone atraria"	Fish	Trawl	Zooplankton	1120-1150	No
Cyclothone2	"Cyclothone atraria"	Fish	Trawl	Zooplankton	1120-1150	No
Cyclothone3	"Cyclothone atraria"	Fish	Trawl	Zooplankton	1120-1150	No
Cyclothone4	"Cyclothone signata"	Fish	Trawl	Zooplankton	1120-1150	No
Euphausia1	"Euphausia pacifica"	Krill	Trawl	Phytoplankton	1120-1150	Yes
Euphausia2	"Euphausia pacifica"	Krill	Trawl	Phytoplankton	1120-1150	Yes
Euphausia3	"Euphausia pacifica"	Krill	Trawl	Phytoplankton	1120-1150	Yes
Euphausia4	"Euphausia pacifica"	Krill	Trawl	Phytoplankton	1120-1150	Yes
Munneurycope1	"Munneurycope murrayi"	Isopod	Trawl	Detritus	817-862	No
Munneurycope2	"Munneurycope murrayi"	Isopod	Trawl	Detritus	817-862	No
Munneurycope3	"Munneurycope murrayi"	Isopod	Trawl	Detritus	817-862	No
Stenobrachius1	"Stenobrachius leucopsarus"	Fish	Trawl	Zooplankton	1120-1150	Yes
Stenobrachius2	"Stenobrachius leucopsarus"	Fish	Trawl	Zooplankton	1120-1150	Yes
Stenobrachius3	"Stenobrachius leucopsarus"	Fish	Trawl	Zooplankton	1120-1150	Yes
Stenobrachius4	"Stenobrachius leucopsarus"	Fish	Trawl	Zooplankton	1120-1150	Yes
Poeobius1	"Poeobius meseres"	Polychaete	ROV	Detritus	817-862	No
Poeobius3	"Poeobius meseres"	Polychaete	ROV	Detritus	817-862	No
Poeobius4	"Poeobius meseres"	Polychaete	ROV	Detritus	817-862	No
Poeobius5	"Poeobius meseres"	Polychaete	ROV	Detritus	817-862	No
Poeobius6	"Poeobius meseres"	Polychaete	ROV	Detritus	817-862	No
Eusergestes1	"Eusergestes similis"	Shrimp	ROV	Zooplankton	242	Yes
Eusergestes2	"Eusergestes similis"	Shrimp	ROV	Zooplankton	242	Yes
Eusergestes3	"Eusergestes similis"	Shrimp	ROV	Zooplankton	242	Yes
Eusergestes4	"Eusergestes similis"	Shrimp	ROV	Zooplankton	242	Yes
Tomopteris1	"Tomopteris sp."	Polychaete	ROV	Zooplankton	817-862	Unknown
Tomopteris2	"Tomopteris sp."	Polychaete	ROV	Zooplankton	817-862	Unknown
Vampyroteuthis1	"Vampyroteuthis infernalis"	Cephalopod	Trawl	Detritus	1120-1150	No
Vampyroteuthis2	"Vampyroteuthis infernalis"	Cephalopod	Trawl	Detritus	1120-1150	No
