OTU	Acanthamunnopsis3	Cyclothone1	Cyclothone2	Cyclothone3	Cyclothone4	Euphausia1	Euphausia2	Euphausia3	Euphausia4	Stenobrachius1	Stenobrachius2	Stenobrachius3	Stenobrachius4	Poeobius1	Poeobius3	Eusergestes1	Eusergestes2	Eusergestes4
OTU4	0	0	1	0	0	0	0	1	0	36	2	0	0	1	0	0	0	0
OTU6	0	0	1	2	0	1	0	0	0	6	0	4	6	0	0	9	7	1
OTU20	0	12	14	12	1	3	5	6	4	1	1	0	1	0	0	3	9	6
OTU28	0	0	0	0	1	0	0	0	2	0	2	0	0	0	1	1	3	1
OTU29	0	2	2	3	5	1	2	1	2	0	1	1	0	0	1	0	1	0
OTU34	0	3	3	0	0	24	24	41	40	4	5	1	1	0	1	8	9	22
OTU37	0	0	0	0	0	1	0	1	2	1	2	0	1	1	0	2	2	2
OTU44	0	0	0	0	0	14	14	19	19	4	3	2	0	56	61	0	5	13
OTU46	0	1	1	1	0	24	14	15	25	10	16	10	8	13	12	55	54	131
OTU49	0	0	2	1	0	1	1	0	0	1	0	1	1	0	1	4	1	1
OTU57	0	4	3	1	1	0	0	0	0	6	10	13	18	3	3	1	0	0
OTU59	0	0	0	0	0	1	3	2	4	0	0	0	1	1	0	2	6	5
OTU60	0	0	5	3	1	1	1	0	3	6	1	6	4	8	14	0	1	5
OTU61	0	8	3	10	6	32	37	37	33	12	12	6	16	15	22	3	5	10
OTU63	0	21	39	51	11	11	5	5	5	4	2	3	4	1	2	3	5	8
OTU64	0	0	0	0	1	2	2	2	3	2	1	1	2	19	12	9	6	5
OTU66	0	0	1	0	1	1	1	2	1	1	0	1	1	1	2	5	7	6
OTU67	0	0	4	0	1	4	2	0	3	7	9	2	3	4	1	6	3	6
OTU68	0	8	10	14	3	2	0	2	0	14	18	15	18	11	3	1	0	3
OTU72	0	1	1	1	0	0	1	0	0	3	0	4	0	0	0	1	3	2
OTU96	0	0	0	0	0	0	0	0	0	14	0	7	0	0	0	0	0	0
OTU97	0	0	0	0	0	0	0	0	0	8	0	0	0	1	0	0	2	2
OTU98	0	1	3	3	0	0	0	0	0	3	3	2	3	0	0	0	1	0
OTU100	0	0	0	0	0	0	0	0	0	8	5	0	0	0	0	0	0	0
OTU102	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	2
OTU103	1	0	0	0	4	0	0	9	0	9	0	12	0	0	4	7	0	0
OTU117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	10	2
OTU120	0	0	0	0	0	0	0	0	0	0	0	0	0	5	7	0	0	0
OTU132	0	47	74	89	81	234	604	422	201	96	57	158	107	70	103	185	106	183
OTU136	0	0	0	2	2	1	2	2	4	0	0	0	0	0	0	1	2	2
OTU137	3	4	5	2	2	2	2	0	2	6	2	2	13	0	0	5	5	0
OTU138	0	0	0	0	0	0	0	0	0	8	6	5	6	0	0	0	0	0
OTU156	41	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU165	0	0	0	0	2	0	0	0	0	0	8	3	2	0	0	0	0	0
OTU175	0	2	1	1	3	0	0	0	0	3	0	1	0	7	3	0	0	1
OTU179	0	11	5	19	6	0	0	0	0	2	0	0	6	4	7	1	1	0
OTU190	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	9	12	3
