Group	Oxygen	ROS	Anaerobic
Migrator	0.29570	0.51108	0.77178
Migrator	0.31705	0.43156	0.75927
Migrator	0.37586	0.41846	0.72682
Migrator	0.29842	0.44628	0.77017
Migrator	0.51981	0.41958	0.65798
Migrator	0.52806	0.49003	0.65443
Migrator	0.54245	0.41826	0.64832
Migrator	0.53917	0.44316	0.64970
Migrator	0.47832	0.48061	0.67644
Migrator	0.42578	0.51228	0.70137
Migrator	0.58100	0.52982	0.63251
Migrator	0.30673	0.53544	0.76527
Non-migrator	0.94300	0.63881	0.51467
Non-migrator	1.03998	0.56554	0.49020
Non-migrator	1.02387	0.58205	0.49410
Non-migrator	1.07013	0.55008	0.48306
Non-migrator	0.52133	0.38572	0.65732
Non-migrator	0.44031	0.40931	0.69429
Non-migrator	0.43504	0.43367	0.69684
Non-migrator	0.63213	0.41264	0.61270
Non-migrator	0.47276	0.56711	0.67900
Non-migrator	0.28645	0.36301	0.77733
Non-migrator	0.57370	0.43900	0.63544
Non-migrator	0.21703	0.46964	0.82167
Non-migrator	0.21447	0.47316	0.82340
Non-migrator	0.39679	0.68057	0.71593
Non-migrator	0.92201	0.53954	0.52029
Non-migrator	1.09482	0.57428	0.47737
Non-migrator	1.06157	0.53883	0.48507
Non-migrator	1.10314	0.52843	0.47548
