Category	Acanthamunnopsis1	Acanthamunnopsis2	Acanthamunnopsis3	Acanthamunnopsis4	Cyclothone1	Cyclothone2	Cyclothone3	Cyclothone4	Euphausia1	Euphausia2	Euphausia3	Euphausia4	Munneurycope1	Munneurycope2	Munneurycope3	Stenobrachius1	Stenobrachius2	Stenobrachius3	Stenobrachius4	Poeobius1	Poeobius3	Poeobius4	Poeobius5	Poeobius6	Eusergestes1	Eusergestes2	Eusergestes3	Eusergestes4	Tomopteris1	Tomopteris2	Vampyroteuthis1	Vampyroteuthis2
"Oligo- and Polysaccharide Biosynthesis"	849	1110	419	426	417	397	366	568	416	162	317	363	844	291	322	622	1099	856	865	716	672	384	466	540	829	752	381	702	595	537	368	375
"Various Oligo- and Polysaccharide Degradation"	1429	2324	576	976	1232	1209	1022	1943	1642	403	1118	1388	1922	588	1371	1594	2078	2158	2560	1341	1162	711	685	1056	2611	2283	1878	1494	1151	1151	532	746
"Cutin Degradation"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	3	0	9	0	0	0
"Pectin Degradation"	88	88	29	15	66	65	55	94	145	37	106	101	56	8	67	108	104	97	155	66	48	24	40	24	161	156	60	102	47	43	12	15
"Lignin Degradation"	0	122	14	0	0	0	0	4	3	1	10	9	30	0	6	7	21	14	6	6	8	18	2	33	33	17	6	21	62	42	8	33
"Xylan Degradation"	20	15	12	6	20	33	23	56	38	9	30	34	30	10	23	56	58	59	84	52	28	12	4	24	90	93	39	51	48	20	8	15
"Cellulose Degradation"	168	112	32	52	11	16	38	102	227	43	142	170	58	36	89	87	91	142	186	126	61	39	73	72	160	232	141	151	83	10	40	10
"Sulfoquinovose Degradation"	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	0	0	0	0	9	0	0	6	0	0	10	0	0
"Furfural Degradation"	80	40	35	21	0	0	0	0	0	0	0	0	16	0	3	2	10	12	2	4	11	21	119	42	0	1	21	0	35	0	8	8
"Chitin Degradation"	29	145	44	51	9	13	13	99	70	24	32	56	38	22	77	35	123	116	90	111	38	3	21	42	162	137	126	117	107	54	20	15
"Monosaccharide Degradation"	1741	1684	647	945	1181	1302	1484	1676	1130	438	869	1201	1464	574	810	1611	2621	2012	3156	1330	1529	780	674	813	2119	1893	918	1573	1155	643	792	993
"Sugar Alcohol and Sugar Acid Degradation"	2073	1212	515	669	608	717	799	804	620	195	472	643	386	241	511	844	1293	912	1689	530	605	603	670	606	1175	944	531	695	987	245	792	691
"Amino and Nucleotide Sugar Metabolism"	4402	4430	1551	1461	3117	3029	3252	4123	3040	1308	2033	2869	3992	2234	1594	4083	6173	5214	6157	5280	5197	1857	1913	2229	5357	5162	2187	4541	2427	1909	1504	1454
"Fructoselysine Degradation"	0	0	0	0	17	12	19	18	57	1	21	29	2	0	55	25	23	26	23	18	4	0	0	0	41	33	3	33	0	0	0	0
