ASV	Acanthamunnopsis3	Cyclothone1	Cyclothone2	Cyclothone3	Cyclothone4	Euphausia1	Euphausia2	Euphausia3	Euphausia4	Stenobrachius1	Stenobrachius2	Stenobrachius3	Stenobrachius4	Poeobius1	Poeobius3	Eusergestes1	Eusergestes2	Eusergestes4
Zotu1314	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19
Zotu1595	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu2167	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1245	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu551	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0
Zotu966	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1241	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8
Zotu1441	0	0	0	0	0	1	0	17	3	0	0	0	0	0	0	0	0	0
Zotu1773	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu2326	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu765	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Zotu1200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu2160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1462	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1564	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0
Zotu1573	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1969	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu2261	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1402	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Zotu2114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu375	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1295	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1473	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1502	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1754	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1870	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1899	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1910	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0
Zotu2315	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu382	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	81	0
Zotu481	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	178	0	0
Zotu705	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	142	0
Zotu808	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu134	0	0	0	0	0	0	0	58	0	0	0	0	0	278	0	0	264	38
Zotu1762	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0
Zotu248	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	244	0
Zotu1356	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0
Zotu1556	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0
Zotu1763	0	20	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0
Zotu424	0	2	0	0	0	0	0	0	0	0	0	96	0	0	0	0	72	0
Zotu920	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu933	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	98	0
Zotu306	0	0	0	0	0	0	0	0	0	116	0	0	0	0	0	0	0	0
Zotu2360	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu358	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Zotu621	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu684	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	104	0	0
Zotu836	0	0	28	61	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu555	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	132	8	0
Zotu1515	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1757	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1804	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0
Zotu443	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1140	0	0	0	0	0	0	0	0	0	0	0	72	0	0	38	0	0	0
Zotu496	0	0	0	0	0	0	0	0	0	0	29	0	0	0	1	0	0	0
Zotu221	0	0	0	45	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Zotu848	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1325	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	0
Zotu1335	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0
Zotu2112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1621	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu2266	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0
Zotu1323	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	0	0
Zotu473	0	134	0	0	1	1	0	0	1	0	0	1	27	0	0	1	1	0
Zotu2066	0	15	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0
Zotu64	858	82	473	875	273	4	13	1	1	0	3	26	78	1	0	1103	0	32
Zotu781	0	107	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Zotu1426	1	4	0	28	0	0	0	0	3	0	2	0	0	0	0	0	2	0
Zotu1106	0	8	0	46	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu138	122	7	176	279	84	0	0	0	1	0	0	0	2	0	0	1	0	0
Zotu1483	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1511	0	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1900	0	20	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu2078	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu238	134	3	0	0	21	0	0	78	0	0	0	0	0	0	0	274	0	0
Zotu572	28	12	0	0	24	0	1	0	0	0	1	0	1	0	0	0	0	0
Zotu927	1	0	74	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1508	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
Zotu430	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	240	0	0
Zotu535	0	22	0	0	147	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu880	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Zotu104	787	0	106	591	284	2	0	0	0	0	0	5	38	0	0	0	0	0
Zotu106	344	0	213	833	62	12	0	0	0	0	0	65	83	0	0	0	0	0
Zotu1171	28	0	0	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1172	74	0	3	100	29	0	0	0	0	0	0	0	0	0	0	153	0	0
Zotu1179	8	0	0	54	98	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1190	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1195	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1204	50	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1218	0	0	0	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1276	0	0	0	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu13	8825	0	821	7852	2981	25	89	0	0	1	34	472	1038	0	0	92	0	448
Zotu1301	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1401	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu15	8482	0	1720	6692	3521	49	27	0	0	184	1	166	581	0	84	0	0	290
Zotu1667	38	0	0	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1671	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	3	0	0
Zotu1708	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1726	26	0	45	68	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1734	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1789	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1794	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1858	92	0	23	169	213	1	0	0	0	0	0	0	1	0	0	0	0	0
Zotu1951	37	0	55	10	4	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu2107	0	0	0	3	20	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu312	138	0	53	38	0	0	0	0	0	0	0	0	29	0	0	0	0	0
Zotu318	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	210	0	0
Zotu336	87	0	0	139	90	0	17	0	0	0	0	0	46	0	0	0	0	0
Zotu347	85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	213	0	0
Zotu380	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	246	0	0
Zotu395	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	120	0	0
Zotu399	0	70	0	0	0	0	0	0	0	0	0	0	0	0	0	215	0	0
Zotu449	93	0	12	3	92	0	0	0	0	0	0	0	1	0	0	0	0	0
